animal geno true_BV_ADG true_BV_BF
1 0 2.2530 2.1740
2 0 0.4538 4.0292
3 0 -1.9068 -3.8297
4 0 2.5696 -2.6821
5 0 -3.7822 -3.2768
6 0 0.4509 -3.0825
7 0 -2.4459 0.3408
8 0 1.8789 2.4054
9 0 4.0718 -0.2628
10 0 -4.3723 -0.9987
11 0 0.2465 0.9880
12 0 3.0710 -2.4273
13 0 1.1374 -0.9056
14 0 -3.2767 -0.1778
15 0 1.1556 -1.6807
16 0 -2.4186 0.8648
17 0 -2.9141 -5.2710
18 0 -3.7439 -0.7729
19 0 -5.0532 2.5663
20 0 1.0962 -3.0215
21 0 -0.4662 -1.8530
22 0 3.2697 -1.7011
23 0 0.1817 1.1576
24 0 -0.9604 1.4906
25 0 -4.2176 -6.1114
26 0 -3.6859 -7.7843
27 0 -2.0488 1.1262
28 0 -5.2994 1.1917
29 0 -1.8691 3.4121
30 0 -0.7167 -2.1813
31 0 -2.6007 -0.1078
32 0 -5.0424 -1.9559
33 0 -2.4206 3.7904
34 0 -5.2155 2.8126
35 0 2.0181 1.6580
36 0 -1.2513 1.0395
37 0 0.8700 -2.0606
38 0 -2.2211 -1.1520
39 0 -2.8379 -4.3915
40 0 3.6837 -0.8819
41 0 2.6451 -7.7641
42 0 -3.2219 -0.9236
43 0 -3.7177 -2.7266
44 0 2.4811 3.5078
45 0 2.8256 7.3973
46 0 -0.5321 0.1315
47 0 -0.7037 3.2262
48 0 3.5501 2.0761
49 0 -0.8381 3.9538
50 0 -1.7524 1.0136
51 0 -0.6491 -1.1408
52 0 0.2407 6.0618
53 0 4.7096 2.7345
54 0 4.8506 3.4782
55 0 0.3620 4.6789
56 0 -0.4091 2.3391
57 0 -3.4742 -3.2098
58 0 -1.1955 -5.1108
59 0 -4.9413 -9.7593
60 0 1.9272 -0.0283
61 0 -2.3372 -1.4689
62 0 -0.1962 4.6369
63 0 0.2185 -2.5545
64 0 -5.7238 0.3143
65 0 -6.0074 -5.1990
66 0 -1.4418 -2.3192
67 0 2.9724 2.7649
68 0 -1.8550 -4.3213
69 0 -0.3641 0.0145
70 0 1.7893 1.7799
71 0 -4.3688 -2.1924
72 0 -2.8620 -0.8739
73 0 -0.1282 -3.6943
74 0 -6.3594 -0.6584
75 0 1.0676 1.0714
76 0 -2.5726 1.8605
77 0 -4.6439 -1.4322
78 0 -2.2818 0.8144
79 0 1.8904 -1.2539
80 0 -3.4267 -7.5608
81 0 4.7198 -1.1404
82 0 0.0564 2.1431
83 0 -1.8751 -1.3575
84 0 -0.0972 3.8585
85 0 -0.8311 -1.2158
86 0 -0.3067 4.0721
