animal dummy herd_year sex ADG BF age litter
61 0 3 1 122.04 18.82 161 111
62 0 5 1 128.39 21.35 174 5
63 0 3 1 127.62 9.08 145 126
64 0 1 2 122.60 4.24 172 46
65 0 6 2 113.39 10.38 175 100
66 0 2 1 125.20 15.66 181 99
67 0 6 2 123.88 17.60 183 48
68 0 5 1 118.49 7.82 167 4
69 0 6 1 119.72 21.98 172 22
70 0 3 1 125.44 14.64 164 120
71 0 3 2 121.86 16.43 165 34
72 0 6 1 126.41 19.01 179 4
73 0 1 1 127.26 8.87 170 120
74 0 6 1 120.70 15.56 176 107
75 0 3 2 115.57 12.52 183 39
76 0 2 2 132.27 16.80 160 98
77 0 6 2 112.71 17.41 183 1
78 0 4 2 123.91 7.97 198 66
79 0 3 2 115.95 11.24 162 45
80 0 5 2 119.06 1.63 169 43
81 0 4 1 120.73 -3.31 157 74
82 0 4 1 117.87 4.02 183 110
83 0 5 2 115.69 13.48 191 96
84 0 2 2 124.77 10.28 173 14
85 0 3 2 129.54 12.12 171 78
86 0 6 1 111.60 8.53 173 41
87 0 6 2 128.05 13.15 152 108
88 0 2 1 120.31 17.49 166 49
89 0 6 1 114.96 22.46 183 45
90 0 3 1 116.08 19.83 188 89
91 0 3 1 117.57 17.59 189 10
92 0 1 2 128.73 10.01 166 7
93 0 1 2 128.11 1.43 185 97
94 0 6 1 102.52 2.90 162 55
95 0 4 1 127.08 15.28 178 5
96 0 4 1 110.69 17.79 201 23
97 0 1 1 121.20 3.87 161 86
98 0 5 2 118.82 8.41 172 15
99 0 4 1 116.90 12.18 189 106
100 0 2 1 124.79 2.09 177 14
101 0 4 2 125.62 18.96 169 16
102 0 1 2 113.59 15.12 182 24
103 0 6 2 128.01 26.32 181 39
104 0 6 2 118.57 13.80 169 20
105 0 1 2 121.83 14.79 185 85
106 0 3 1 119.15 0.16 166 129
107 0 6 1 121.01 15.51 160 86
108 0 4 1 113.62 8.64 173 93
109 0 4 1 115.93 10.26 195 42
110 0 6 2 136.46 15.04 150 42
111 0 5 2 117.69 22.50 175 114
112 0 1 1 112.72 -6.02 174 85
113 0 4 2 123.63 7.44 172 111
114 0 1 2 116.49 8.09 172 103
115 0 3 1 133.18 8.59 145 87
116 0 5 1 118.93 6.10 145 1
117 0 2 1 132.08 22.09 164 94
118 0 1 2 124.20 13.03 160 75
119 0 6 2 129.36 17.31 161 72
120 0 4 2 129.84 9.03 153 119
121 0 5 2 116.72 7.41 174 50
122 0 6 1 125.18 13.03 169 89
123 0 2 2 118.26 10.51 170 116
124 0 4 1 122.55 17.43 184 97
